customer,address,postal_code,boxes,product_type,window,notes
Sushi Mart Richmond,5731 No 3 Rd Richmond BC,V6X 2C9,6,mixed,AM only,Big order — bring dolly
Hokkaido Ramen Santouka,5611 Cooney Rd Richmond BC,V6X 3J6,2,fresh,,
Pajo's Fish & Chips,12351 3rd Ave Richmond BC,V7E 3K1,3,frozen,before noon,Loading at the back
Tojo's Restaurant,1133 W Broadway Vancouver BC,V6H 1G1,3,fresh,AM only,Buzz at back door
Octopus Garden,1995 Cornwall Ave Vancouver BC,V6J 1C8,2,fresh,,Call upon arrival
Yuwa Japanese Cuisine,2775 W 16th Ave Vancouver BC,V6K 3C5,1,mixed,,
Sushi Mahana,2143 Granville St Vancouver BC,V6H 3E9,2,frozen,,
Miku Restaurant,200 Granville St Vancouver BC,V6C 1S4,5,fresh,before 11am,Loading bay on west side
Sushi Hil,4348 Main St Vancouver BC,V5V 3R1,3,dry,,
Sushi Ai,1660 Pemberton Ave North Vancouver BC,V7P 2R5,2,fresh,,
Aki Sushi,4022 Hastings St Burnaby BC,V5C 2H8,4,frozen,after 2pm,
Sushi Garden,4011 Kingsway Burnaby BC,V5H 1Y9,2,fresh,,
Shizen Ya,3490 Lougheed Hwy Coquitlam BC,V3B 1B4,1,mixed,,
Sushi Mura,15355 24 Ave Surrey BC,V4A 2H9,5,frozen,,
